id	BioSample_id	BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleTitle	BioSampleName	BioSamplePackage	BioSampleOrganism	BioSampleOrganismAlt	BioSampleTaxonomyID	BioSampleIsolate	BioSampleCollectedBy	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleHostDisease	BioSampleHostAge	BioSampleHostAgeUnit	BioSampleHostSex	BioSampleHostAnatomicalPart	BioSamplePassageHistory	BioSampleGISAIDAccession	BioSampleGISAIDVirusName	BioSampleSequencedBy	BioSamplePurposeSampling	BioSamplePurposeSequencing	BioSampleCollectionDevice	BioSampleDiagGeneName	BioSamplePCRCtValue	BioSampleIsolationSource	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleSubmissionDate	BioSampleModificationDate	BioSamplePublicationDate	BioSampleOrganization	BioSampleComment
1	29612585	SAMN29612585		PRJNA857067	SRS14083986	Pathogen: environmental/food/other sample from Streptococcus agalactiae	KALRO-Sagal2	Pathogen.env.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311		KALRO	2021-12-10	Kenya:Laikipia ranch	Camelus dromedarius															mastitis-infection		0.360600 N 36.782000 E		2022-07-08T16:32:14.963	2022-07-22T12:33:30.260	2022-07-08T00:00:00.000	Kenya Agricultural and Livestock Research Organisation
349	19806054	SAMEA8123896			ERS5810870	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	O4		2017	Kenya	Camelus dromedarius															camel milk		0.35233384 N 37.64267549 E		2021-06-22T08:18:37.043	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
350	19806053	SAMEA8123895			ERS5810869	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	O11		2017	Kenya	Camelus dromedarius															camel milk		0.35233384 N 37.64267549 E		2021-06-22T08:18:37.030	2021-07-22T22:38:52.000	2021-06-21T00:00:00.000	EBI
351	19806052	SAMEA8123894			ERS5810868	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	O1		2017	Kenya	Camelus dromedarius															camel milk		0.35233384 N 37.64267549 E		2021-06-22T08:18:37.000	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
352	19806051	SAMEA8123893			ERS5810867	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	N9		2017	Kenya	Camelus dromedarius															camel milk		0.35363827 N 37.64267657 E		2021-06-22T08:18:36.966	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
353	19806050	SAMEA8123892			ERS5810866	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	N8		2017	Kenya	Camelus dromedarius															camel milk		0.35363827 N 37.64267657 E		2021-06-22T08:18:36.950	2021-07-22T22:38:52.000	2021-06-21T00:00:00.000	EBI
354	19806049	SAMEA8123891			ERS5810865	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	N5		2017	Kenya	Camelus dromedarius															camel milk		0.35363827 N 37.64267657 E		2021-06-22T08:18:36.920	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
355	19806048	SAMEA8123890			ERS5810864	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	N1		2017	Kenya	Camelus dromedarius															camel milk		0.35363827 N 37.64267657 E		2021-06-22T08:18:36.890	2021-07-22T22:38:52.000	2021-06-21T00:00:00.000	EBI
356	19806047	SAMEA8123889			ERS5810863	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	M9		2017	Kenya	Camelus dromedarius															camel milk		0.37870053 N 37.64076899 E		2021-06-22T08:18:36.873	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
357	19806046	SAMEA8123888			ERS5810862	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	M7		2017	Kenya	Camelus dromedarius															camel milk		0.37870053 N 37.64076899 E		2021-06-22T08:18:36.840	2021-07-22T22:38:52.000	2021-06-21T00:00:00.000	EBI
358	19806045	SAMEA8123887			ERS5810861	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	M6		2017	Kenya	Camelus dromedarius															camel milk		0.37870053 N 37.64076899 E		2021-06-22T08:18:36.810	2021-07-22T22:38:52.000	2021-06-21T00:00:00.000	EBI
359	19806044	SAMEA8123886			ERS5810860	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	M2		2017	Kenya	Camelus dromedarius															camel milk		0.37870053 N 37.64076899 E		2021-06-22T08:18:36.793	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
360	19806043	SAMEA8123885			ERS5810859	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	M10		2017	Kenya	Camelus dromedarius															camel milk		0.37870053 N 37.64076899 E		2021-06-22T08:18:36.763	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
361	19806042	SAMEA8123884			ERS5810858	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	L3		2017	Kenya	Camelus dromedarius															camel milk		0.34774053 N 37.71510446 E		2021-06-22T08:18:36.746	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
362	19806041	SAMEA8123883			ERS5810857	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	K7		2017	Kenya	Camelus dromedarius															camel milk		0.34774053 N 37.71510446 E		2021-06-22T08:18:36.716	2021-07-22T22:38:52.000	2021-06-21T00:00:00.000	EBI
363	19806040	SAMEA8123882			ERS5810856	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	K6		2017	Kenya	Camelus dromedarius															camel milk		0.34760403 N 37.71500604 E		2021-06-22T08:18:36.686	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
364	19806039	SAMEA8123881			ERS5810855	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	K4		2017	Kenya	Camelus dromedarius															camel milk		0.34760403 N 37.71500604 E		2021-06-22T08:18:36.670	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
365	19806038	SAMEA8123880			ERS5810854	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	K2		2017	Kenya	Camelus dromedarius															camel milk		0.34760403 N 37.71500604 E		2021-06-22T08:18:36.640	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
366	19806037	SAMEA8123879			ERS5810853	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	K1		2017	Kenya	Camelus dromedarius															camel milk		0.34760403 N 37.71500604 E		2021-06-22T08:18:36.606	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
367	19806036	SAMEA8123878			ERS5810852	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	J9		2017	Kenya	Camelus dromedarius															camel milk		0.34837763 N 37.71520639 E		2021-06-22T08:18:36.590	2021-07-22T22:38:52.000	2021-06-21T00:00:00.000	EBI
368	19806035	SAMEA8123877			ERS5810851	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	J7		2017	Kenya	Camelus dromedarius															camel milk		0.34837763 N 37.71520639 E		2021-06-22T08:18:36.560	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
369	19806034	SAMEA8123876			ERS5810850	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	J6		2017	Kenya	Camelus dromedarius															camel milk		0.34837763 N 37.71520639 E		2021-06-22T08:18:36.530	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
370	19806033	SAMEA8123875			ERS5810849	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	J5		2017	Kenya	Camelus dromedarius															camel milk		0.34837763 N 37.71520639 E		2021-06-22T08:18:36.513	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
371	19806032	SAMEA8123874			ERS5810848	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	J3		2017	Kenya	Camelus dromedarius															camel milk		0.34837763 N 37.71520639 E		2021-06-22T08:18:36.480	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
372	19806031	SAMEA8123873			ERS5810847	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	J2		2017	Kenya	Camelus dromedarius															camel milk		0.34837763 N 37.71520639 E		2021-06-22T08:18:36.450	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
373	19806030	SAMEA8123872			ERS5810846	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	J10		2017	Kenya	Camelus dromedarius															camel milk		0.34837763 N 37.71520639 E		2021-06-22T08:18:36.433	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
374	19806029	SAMEA8123871			ERS5810845	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	I8		2017	Kenya	Camelus dromedarius															camel milk		0.34904687 N 37.71381092 E		2021-06-22T08:18:36.403	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
375	19806028	SAMEA8123870			ERS5810844	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	I4		2017	Kenya	Camelus dromedarius															camel milk		0.34904687 N 37.71381092 E		2021-06-22T08:18:36.386	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
376	19806027	SAMEA8123869			ERS5810843	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	I2		2017	Kenya	Camelus dromedarius															camel milk		0.34904687 N 37.71381092 E		2021-06-22T08:18:36.356	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
377	19806026	SAMEA8123868			ERS5810842	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	I13		2017	Kenya	Camelus dromedarius															camel milk		0.34904687 N 37.71381092 E		2021-06-22T08:18:36.326	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
378	19806025	SAMEA8123867			ERS5810841	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	I12		2017	Kenya	Camelus dromedarius															camel milk		0.34904687 N 37.71381092 E		2021-06-22T08:18:36.293	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
379	19806024	SAMEA8123866			ERS5810840	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	H10		2017	Kenya	Camelus dromedarius															camel milk		0.35119433 N 37.71265804 E		2021-06-22T08:18:36.263	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
380	19806023	SAMEA8123865			ERS5810839	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	G9		2017	Kenya	Camelus dromedarius															camel milk		0.43445856 N 37.84883801 E		2021-06-22T08:18:36.246	2021-07-22T22:38:51.000	2021-06-21T00:00:00.000	EBI
381	19806022	SAMEA8123864			ERS5810838	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	G6		2017	Kenya	Camelus dromedarius															camel milk		0.43445856 N 37.84883801 E		2021-06-22T08:18:36.216	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
382	19806021	SAMEA8123863			ERS5810837	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	F7		2017	Kenya	Camelus dromedarius															camel milk		0.33650765 N 37.64635215 E		2021-06-22T08:18:36.200	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
383	19806020	SAMEA8123862			ERS5810836	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	E6		2017	Kenya	Camelus dromedarius															camel milk		0.44192895 N 37.80357947 E		2021-06-22T08:18:36.170	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
384	19806019	SAMEA8123861			ERS5810835	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	E10		2017	Kenya	Camelus dromedarius															camel milk		0.44192895 N 37.80357947 E		2021-06-22T08:18:36.136	2021-07-22T22:38:52.000	2021-06-21T00:00:00.000	EBI
385	19806018	SAMEA8123860			ERS5810834	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	D5		2017	Kenya	Camelus dromedarius															camel milk		0.50045257 N 37.55769298 E		2021-06-22T08:18:36.120	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
386	19806017	SAMEA8123859			ERS5810833	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	D4		2017	Kenya	Camelus dromedarius															camel milk		0.50045257 N 37.55769298 E		2021-06-22T08:18:36.090	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
387	19806016	SAMEA8123858			ERS5810832	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	C8		2017	Kenya	Camelus dromedarius															camel milk		0.41616154 N 37.73424358 E		2021-06-22T08:18:36.076	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
388	19806015	SAMEA8123857			ERS5810831	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	C5		2017	Kenya	Camelus dromedarius															camel milk		0.41616154 N 37.73424358 E		2021-06-22T08:18:36.043	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
389	19806014	SAMEA8123856			ERS5810830	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	B7		2017	Kenya	Camelus dromedarius															camel milk		0.34245117 N 37.69312568 E		2021-06-22T08:18:36.013	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
390	19806013	SAMEA8123855			ERS5810829	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	B6		2017	Kenya	Camelus dromedarius															camel milk		0.34245117 N 37.69312568 E		2021-06-22T08:18:35.996	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
391	19806012	SAMEA8123854			ERS5810828	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	B5		2017	Kenya	Camelus dromedarius															camel milk		0.34245117 N 37.69312568 E		2021-06-22T08:18:35.966	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
392	19806011	SAMEA8123853			ERS5810827	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	B10		2017	Kenya	Camelus dromedarius															camel milk		0.34245117 N 37.69312568 E		2021-06-22T08:18:35.933	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
393	19806010	SAMEA8123852			ERS5810826	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	B1		2017	Kenya	Camelus dromedarius															camel milk		0.34245117 N 37.69312568 E		2021-06-22T08:18:35.920	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
394	19806009	SAMEA8123851			ERS5810825	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	A7		2017	Kenya	Camelus dromedarius															camel milk		0.35997006 N 37.53303641 E		2021-06-22T08:18:35.886	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
395	19806008	SAMEA8123850			ERS5810824	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	A6		2017	Kenya	Camelus dromedarius															camel milk		0.35997006 N 37.53303641 E		2021-06-22T08:18:35.856	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
396	19806007	SAMEA8123849			ERS5810823	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	A5		2017	Kenya	Camelus dromedarius															camel milk		0.35997006 N 37.53303641 E		2021-06-22T08:18:35.840	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
397	19806006	SAMEA8123848			ERS5810822	GBS from camel milk		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	A4		2017	Kenya	Camelus dromedarius															camel milk		0.35997006 N 37.53303641 E		2021-06-22T08:18:35.793	2021-07-22T22:38:50.000	2021-06-21T00:00:00.000	EBI
398	19685926	SAMEA8558253			ERS6242940	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	79M		2019	Kenya	Camelus dromedarius															milk_adult				2021-06-13T08:07:00.280	2021-06-13T10:20:32.000	2021-06-12T00:00:00.000	EBI
399	19685925	SAMEA8558252			ERS6242939	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	78M		2019	Kenya	Camelus dromedarius															milk_adult				2021-06-13T08:07:00.263	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
400	19685924	SAMEA8558251			ERS6242938	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	73M		2019	Kenya	Camelus dromedarius															milk_adult				2021-06-13T08:07:00.233	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
401	19685923	SAMEA8558250			ERS6242937	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	60M		2019	Kenya	Camelus dromedarius															milk_adult				2021-06-13T08:07:00.216	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
402	19685922	SAMEA8558249			ERS6242936	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	46M		2019	Kenya	Camelus dromedarius															milk_adult				2021-06-13T08:07:00.186	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
403	19685921	SAMEA8558248			ERS6242935	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	44M		2019	Kenya	Camelus dromedarius															milk_adult				2021-06-13T08:07:00.170	2021-06-13T10:20:32.000	2021-06-12T00:00:00.000	EBI
404	19685920	SAMEA8558247			ERS6242934	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	39M		2019	Kenya	Camelus dromedarius															milk_adult				2021-06-13T08:07:00.156	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
405	19685919	SAMEA8558246			ERS6242933	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	27M		2019	Kenya	Camelus dromedarius															milk_adult				2021-06-13T08:07:00.123	2021-06-13T10:20:32.000	2021-06-12T00:00:00.000	EBI
406	19685918	SAMEA8558245			ERS6242932	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	19M		2019	Kenya	Camelus dromedarius															milk_adult				2021-06-13T08:07:00.093	2021-06-13T10:20:32.000	2021-06-12T00:00:00.000	EBI
407	19685917	SAMEA8558244			ERS6242931	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	1M		2019	Kenya	Camelus dromedarius															milk_adult				2021-06-13T08:07:00.030	2021-06-13T10:20:32.000	2021-06-12T00:00:00.000	EBI
408	19685916	SAMEA8558243			ERS6242930	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	92N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.966	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
409	19685915	SAMEA8558242			ERS6242929	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	91N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.953	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
410	19685914	SAMEA8558241			ERS6242928	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	90N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.936	2021-06-13T10:20:32.000	2021-06-12T00:00:00.000	EBI
411	19685913	SAMEA8558240			ERS6242927	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	89N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.906	2021-06-13T10:20:32.000	2021-06-12T00:00:00.000	EBI
412	19685912	SAMEA8558239			ERS6242926	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	88N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.890	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
413	19685911	SAMEA8558238			ERS6242925	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	87N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.873	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
414	19685910	SAMEA8558237			ERS6242924	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	84N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.860	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
415	19685909	SAMEA8558236			ERS6242923	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	82N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.826	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
416	19685908	SAMEA8558235			ERS6242922	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	79N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.810	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
417	19685907	SAMEA8558234			ERS6242921	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	78N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.796	2021-06-13T10:20:32.000	2021-06-12T00:00:00.000	EBI
418	19685906	SAMEA8558233			ERS6242920	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	73N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.780	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
419	19685905	SAMEA8558232			ERS6242919	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	72N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.750	2021-06-13T10:20:32.000	2021-06-12T00:00:00.000	EBI
420	19685904	SAMEA8558231			ERS6242918	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	64N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.733	2021-06-13T10:20:32.000	2021-06-12T00:00:00.000	EBI
421	19685903	SAMEA8558230			ERS6242917	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	56N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.716	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
422	19685902	SAMEA8558229			ERS6242916	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	51N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.703	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
423	19685901	SAMEA8558228			ERS6242915	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	44N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.670	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
424	19685900	SAMEA8558227			ERS6242914	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	42N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.656	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
425	19685899	SAMEA8558226			ERS6242913	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	34N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.640	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
426	19685898	SAMEA8558225			ERS6242912	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	23N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.610	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
427	19685897	SAMEA8558224			ERS6242911	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	19N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.593	2021-06-13T10:20:32.000	2021-06-12T00:00:00.000	EBI
428	19685896	SAMEA8558223			ERS6242910	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	11N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.576	2021-06-13T10:20:32.000	2021-06-12T00:00:00.000	EBI
429	19685895	SAMEA8558222			ERS6242909	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	5N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.560	2021-06-13T10:20:30.000	2021-06-12T00:00:00.000	EBI
430	19685894	SAMEA8558221			ERS6242908	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	3N		2019	Kenya	Camelus dromedarius															nose_adult				2021-06-13T08:06:59.530	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
431	19685893	SAMEA8558220			ERS6242907	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	92O		2019	Kenya	Camelus dromedarius															mouth_calf				2021-06-13T08:06:59.513	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
432	19685892	SAMEA8558219			ERS6242906	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	91O		2019	Kenya	Camelus dromedarius															mouth_calf				2021-06-13T08:06:59.500	2021-06-13T10:20:30.000	2021-06-12T00:00:00.000	EBI
433	19685891	SAMEA8558218			ERS6242905	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	90O		2019	Kenya	Camelus dromedarius															mouth_calf				2021-06-13T08:06:59.483	2021-06-13T10:20:32.000	2021-06-12T00:00:00.000	EBI
434	19685890	SAMEA8558217			ERS6242904	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	89O		2019	Kenya	Camelus dromedarius															mouth_calf				2021-06-13T08:06:59.466	2021-06-13T10:20:31.000	2021-06-12T00:00:00.000	EBI
435	19685889	SAMEA8558216			ERS6242903	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	84Ob		2019	Kenya	Camelus dromedarius															mouth_calf				2021-06-13T08:06:59.436	2021-06-13T10:20:32.000	2021-06-12T00:00:00.000	EBI
436	19685888	SAMEA8558215			ERS6242902	GBS extramammary camel		Generic.1.0	Streptococcus agalactiae	Streptococcus agalactiae	1311	83O		2019	Kenya	Camelus dromedarius															mouth_calf				2021-06-13T08:06:59.420	2021-06-13T10:20:32.000	2021-06-12T00:00:00.000	EBI
